split,h,model_a,model_b,metric,n_wells,median_diff,mean_diff,a_better_frac,wilcoxon_stat,p_value,region
test,1,chronos,lstm,rmse,186,-0.021441393780438023,-0.04368276127483178,0.532258064516129,7903.0,0.28108422485134943,igp
test,1,gru,lstm,rmse,186,-0.018932220239282538,-0.032100158636235984,0.6075268817204301,6675.0,0.005994143240815659,igp
test,1,chronos,seasonal_naive,rmse,186,-0.08611637811919029,-0.15955886260749727,0.5752688172043011,6336.0,0.0013311469587686529,igp
test,1,gru,seasonal_naive,rmse,186,-0.13528041775720967,-0.14797625996890143,0.6129032258064516,5770.0,6.920549330033961e-05,igp
test,1,random_forest,seasonal_naive,rmse,186,-0.08758825385793001,-0.11538281367717279,0.5913978494623656,6939.0,0.016892801388962434,igp
test,2,random_forest,xgboost,rmse,195,0.014753059417702885,-0.08293657017694522,0.48205128205128206,9551.0,0.9959554510708661,igp
test,2,random_forest,chronos,rmse,195,-0.028994228411068912,-0.008859422711753655,0.5487179487179488,9032.0,0.5074673637551719,igp
test,2,random_forest,gru,rmse,195,-0.04887511251885679,-0.1355869549303221,0.5897435897435898,7558.0,0.01138175794571682,igp
test,2,chronos,gru,rmse,195,-0.025007624845196474,-0.12672753221856847,0.5282051282051282,8185.0,0.08253362437270839,igp
test,2,chronos,lstm,rmse,195,-0.028731585305875162,-0.16593479628721908,0.5538461538461539,7381.0,0.005868094184944868,igp
test,2,gru,lstm,rmse,195,-0.020276555020276366,-0.03920726406865065,0.5897435897435898,7086.0,0.0017545638680293433,igp
test,2,chronos,seasonal_naive,rmse,195,-0.05564683967392536,-0.037487660868182685,0.5538461538461539,8234.0,0.09411600614206089,igp
test,2,gru,seasonal_naive,rmse,195,-0.012482460473603574,0.08923987135038575,0.5128205128205128,9278.0,0.7255613330571266,igp
test,2,random_forest,seasonal_naive,rmse,195,-0.04145799574883258,-0.046347083579936346,0.5641025641025641,8070.0,0.05984852805958533,igp
test,3,random_forest,xgboost,rmse,169,-0.02435761202938802,-0.1286645795885921,0.5443786982248521,6372.0,0.2032650390951919,igp
test,3,random_forest,chronos,rmse,169,0.03155906697991151,0.07528944440267112,0.4378698224852071,5951.0,0.05321398297010523,igp
test,3,random_forest,gru,rmse,169,-0.03583957735415311,-0.2202908589219017,0.5384615384615384,5735.0,0.023071282525106384,igp
test,3,chronos,gru,rmse,169,-0.038778644193336875,-0.2955803033245728,0.591715976331361,5166.0,0.0015484045111686534,igp
test,3,chronos,lstm,rmse,169,-0.043193619826764396,-0.2756688596255957,0.5680473372781065,5036.0,0.0007529750286783543,igp
test,3,gru,lstm,rmse,169,-0.00021017913225795937,0.019911443698977085,0.5029585798816568,7049.0,0.8340070209038333,igp
test,3,chronos,seasonal_naive,rmse,169,-0.06049507223622774,-0.08816704763940089,0.5621301775147929,5545.0,0.01015489475179903,igp
test,3,gru,seasonal_naive,rmse,169,0.017398218683358335,0.20741325568517185,0.47928994082840237,6209.0,0.12646837443105777,igp
test,3,random_forest,seasonal_naive,rmse,169,-0.03233768523254832,-0.012877603236729776,0.5621301775147929,6186.0,0.1177511765820542,igp
test,4,random_forest,xgboost,rmse,216,-0.014355579428786014,-0.11901836427334617,0.5370370370370371,9992.0,0.060529083275507406,igp
test,4,random_forest,chronos,rmse,216,0.06193158393861324,0.08047922507370504,0.42592592592592593,9852.0,0.042441864523260105,igp
test,4,random_forest,gru,rmse,216,-0.06336933847740833,-0.31680287758646486,0.5555555555555556,9297.0,0.008471163326902481,igp
test,4,chronos,gru,rmse,216,-0.058422442983934675,-0.39728210266016994,0.6018518518518519,8094.0,8.118351498321146e-05,igp
test,4,chronos,lstm,rmse,216,-0.055449787409481366,-0.25152846863967643,0.5416666666666666,8552.0,0.0005756566337687077,igp
test,4,gru,lstm,rmse,216,0.005535786499619499,0.14575363402049346,0.4722222222222222,10022.0,0.06513991902069953,igp
test,4,chronos,seasonal_naive,rmse,216,-0.03273496487454103,-0.06090791505220206,0.5648148148148148,9863.0,0.0436747019800399,igp
test,4,gru,seasonal_naive,rmse,216,0.048481152424043494,0.33637418760796783,0.42592592592592593,9081.0,0.004136283847497801,igp
test,4,random_forest,seasonal_naive,rmse,216,-0.03234306894817507,0.019571310021502985,0.5324074074074074,11239.0,0.6024480614618286,igp
