h,distance_km_bin,semivariance,n_pairs,nugget,sill,range
2,337.5,2.457937436167389,154937,0.9727576609481582,1.4150687399779591,53.84822177888719
2,412.5,2.422599161229257,172534,0.9727576609481582,1.4150687399779591,53.84822177888719
2,487.5,2.201027418969806,181545,0.9727576609481582,1.4150687399779591,53.84822177888719
2,562.5,2.095732546918048,195840,0.9727576609481582,1.4150687399779591,53.84822177888719
2,637.5,1.994107444211315,205561,0.9727576609481582,1.4150687399779591,53.84822177888719
2,712.5,1.9828897359819222,204711,0.9727576609481582,1.4150687399779591,53.84822177888719
2,787.5,2.1688507683550684,201301,0.9727576609481582,1.4150687399779591,53.84822177888719
2,862.5,2.24472822562532,200304,0.9727576609481582,1.4150687399779591,53.84822177888719
2,937.5,2.3580981114656248,199094,0.9727576609481582,1.4150687399779591,53.84822177888719
2,1012.5,2.4037957574886706,194595,0.9727576609481582,1.4150687399779591,53.84822177888719
2,1087.5,2.661624584625783,187680,0.9727576609481582,1.4150687399779591,53.84822177888719
2,1162.5,2.733288348361908,176874,0.9727576609481582,1.4150687399779591,53.84822177888719
2,1237.5,2.66654733179326,169055,0.9727576609481582,1.4150687399779591,53.84822177888719
2,1312.5,2.513209816783247,154572,0.9727576609481582,1.4150687399779591,53.84822177888719
2,1387.5,2.419684814128875,142533,0.9727576609481582,1.4150687399779591,53.84822177888719
2,1462.5,2.667571803051887,121552,0.9727576609481582,1.4150687399779591,53.84822177888719
3,37.5,2.449684923639081,31304,1.451188272282488,1.9582606602479742,56.072370744414435
3,112.5,2.847772580132495,65761,1.451188272282488,1.9582606602479742,56.072370744414435
3,187.5,3.712171220784206,93269,1.451188272282488,1.9582606602479742,56.072370744414435
3,262.5,3.905977186112593,124017,1.451188272282488,1.9582606602479742,56.072370744414435
3,337.5,3.4077488966987053,150005,1.451188272282488,1.9582606602479742,56.072370744414435
3,412.5,3.3555116338316604,168350,1.451188272282488,1.9582606602479742,56.072370744414435
3,487.5,3.2775254396412654,177467,1.451188272282488,1.9582606602479742,56.072370744414435
3,562.5,3.086125253822265,190546,1.451188272282488,1.9582606602479742,56.072370744414435
3,637.5,2.8674565002578287,200052,1.451188272282488,1.9582606602479742,56.072370744414435
3,712.5,2.8145628057827548,198862,1.451188272282488,1.9582606602479742,56.072370744414435
3,787.5,3.0914303843477833,195193,1.451188272282488,1.9582606602479742,56.072370744414435
3,862.5,3.175042494140065,194251,1.451188272282488,1.9582606602479742,56.072370744414435
3,937.5,3.3311526485798715,192996,1.451188272282488,1.9582606602479742,56.072370744414435
3,1012.5,3.455958946885862,187963,1.451188272282488,1.9582606602479742,56.072370744414435
3,1087.5,3.8945045877212077,180439,1.451188272282488,1.9582606602479742,56.072370744414435
3,1162.5,3.8687212416230055,169553,1.451188272282488,1.9582606602479742,56.072370744414435
3,1237.5,3.744045154153587,162220,1.451188272282488,1.9582606602479742,56.072370744414435
3,1312.5,3.4825939143325852,147943,1.451188272282488,1.9582606602479742,56.072370744414435
3,1387.5,3.3391803992823026,136515,1.451188272282488,1.9582606602479742,56.072370744414435
3,1462.5,3.7214543737635504,116795,1.451188272282488,1.9582606602479742,56.072370744414435
4,37.5,3.0044864773892463,36561,1.8403476089788746,2.7250309037623737,73.54243149949207
4,112.5,3.582658160369136,76594,1.8403476089788746,2.7250309037623737,73.54243149949207
4,187.5,4.74053647535971,108420,1.8403476089788746,2.7250309037623737,73.54243149949207
4,262.5,4.878111937217709,143819,1.8403476089788746,2.7250309037623737,73.54243149949207
4,337.5,4.439265766688109,172563,1.8403476089788746,2.7250309037623737,73.54243149949207
4,412.5,4.5298026170869505,192380,1.8403476089788746,2.7250309037623737,73.54243149949207
4,487.5,4.311097929037987,202251,1.8403476089788746,2.7250309037623737,73.54243149949207
4,562.5,4.321390160381185,217817,1.8403476089788746,2.7250309037623737,73.54243149949207
4,637.5,4.000296003831895,229029,1.8403476089788746,2.7250309037623737,73.54243149949207
4,712.5,3.841265134697757,228094,1.8403476089788746,2.7250309037623737,73.54243149949207
4,787.5,4.238799822560803,224692,1.8403476089788746,2.7250309037623737,73.54243149949207
4,862.5,4.485351393434574,223702,1.8403476089788746,2.7250309037623737,73.54243149949207
4,937.5,4.627223865311684,222923,1.8403476089788746,2.7250309037623737,73.54243149949207
4,1012.5,4.906723124435382,219008,1.8403476089788746,2.7250309037623737,73.54243149949207
4,1087.5,5.215990740240574,211053,1.8403476089788746,2.7250309037623737,73.54243149949207
4,1162.5,5.049344513848798,199764,1.8403476089788746,2.7250309037623737,73.54243149949207
4,1237.5,4.875163063368852,191106,1.8403476089788746,2.7250309037623737,73.54243149949207
4,1312.5,4.4965154191527965,175355,1.8403476089788746,2.7250309037623737,73.54243149949207
