model,h,tercile,picp90,mpiw90,ace90
lstm,3,medium,0.8943680249156502,8.020566126164681,-0.005631975084349872
lstm,3,long,0.9094701710471422,7.4989546630254775,0.009470171047142206
lstm,4,short,0.8761609907120743,7.183929581624811,-0.023839009287925705
lstm,4,medium,0.9017182130584193,8.192039941181688,0.0017182130584192379
lstm,4,long,0.9115807034616988,7.723781592634691,0.011580703461698816
persistence,1,short,0.9075804776739356,9.799999999999997,0.007580477673935548
persistence,1,medium,0.909391124871001,10.359999999999998,0.009391124871001022
persistence,1,long,0.923896499238965,10.540000000000003,0.023896499238964974
persistence,2,short,0.8999615236629472,11.120000000000001,-3.847633705278408e-05
persistence,2,medium,0.9161034723840596,13.5,0.016103472384059625
persistence,2,long,0.9259327329535012,12.08,0.02593273295350118
persistence,3,short,0.9384482011270048,11.679999999999998,0.038448201127004755
persistence,3,medium,0.9395276407993771,12.900000000000004,0.039527640799377095
persistence,3,long,0.9407592824363789,12.0,0.04075928243637883
persistence,4,short,0.9259780467210807,8.6,0.025978046721080728
persistence,4,medium,0.9280068728522337,9.599999999999994,0.02800687285223369
persistence,4,long,0.9296538301126095,8.900000000000002,0.02965383011260947
random_forest,1,short,0.9190031152647975,6.779053515274886,0.019003115264797477
random_forest,1,medium,0.9213622291021671,7.276419043418118,0.02136222910216712
random_forest,1,long,0.9311686115339083,6.688265789876717,0.031168611533908264
random_forest,2,short,0.9311273566756445,7.88565640707509,0.03112735667564448
random_forest,2,medium,0.9275227219762293,8.309800945472007,0.027522721976229292
random_forest,2,long,0.927219261165227,7.533709120003962,0.027219261165226993
random_forest,3,short,0.9211096662332033,7.430394645242258,0.021109666233203317
random_forest,3,medium,0.9301842719958474,8.612927805941364,0.03018427199584739
random_forest,3,long,0.9297037964121819,7.777001416799663,0.029703796412181904
random_forest,4,short,0.9161272164368139,7.693469561321025,0.016127216436813918
random_forest,4,medium,0.9286941580756014,8.767811760995608,0.028694158075601384
random_forest,4,long,0.9288196858056443,7.855764836995799,0.028819685805644313
seasonal_naive,1,short,0.9304257528556594,8.84,0.030425752855659405
seasonal_naive,1,medium,0.9302373581011352,9.4,0.030237358101135148
seasonal_naive,1,long,0.9288009470657872,8.5,0.028800947065787175
seasonal_naive,2,short,0.9299730665640631,9.06,0.029973066564063067
seasonal_naive,2,medium,0.9284549056164064,9.700000000000001,0.0284549056164064
seasonal_naive,2,long,0.9299761073332108,8.920000000000003,0.029976107333210766
seasonal_naive,3,short,0.9341135674035544,9.0,0.03411356740355442
seasonal_naive,3,medium,0.9291461199065663,9.599999999999996,0.029146119906566237
seasonal_naive,3,long,0.9242803504380476,8.859999999999998,0.02428035043804755
seasonal_naive,4,short,0.9259780467210807,8.6,0.025978046721080728
seasonal_naive,4,medium,0.9280068728522337,9.599999999999994,0.02800687285223369
seasonal_naive,4,long,0.9296538301126095,8.900000000000002,0.02965383011260947
xgboost,1,short,0.9286950501903773,7.039781227111819,0.028695050190377325
xgboost,1,medium,0.9219814241486068,7.209625625610352,0.02198142414860682
xgboost,1,long,0.9257568070353458,6.524484825134278,0.025756807035345775
xgboost,2,short,0.9318968834166987,7.95284469604492,0.03189688341669872
xgboost,2,medium,0.9233278955954323,8.285491466522217,0.023327895595432246
xgboost,2,long,0.9281382098878883,7.497100448608398,0.028138209887888288
xgboost,3,short,0.9154746423927178,7.357457771301269,0.015474642392717786
