hist_tercile,h,model,rmse,n,rmse_sea,skill_pct
short,1,persistence,3.3154059672018645,4861,3.310207644861498,-0.15703916183131827
short,1,random_forest,2.4478189857489294,4861,3.310207644861498,26.05240370498425
short,1,seasonal_naive,3.310207644861498,4861,3.310207644861498,0.0
short,1,xgboost,2.4997036039240097,4861,3.310207644861498,24.484990909728886
short,2,chronos,3.2156649689813364,4297,3.362174521879364,4.357583223137773
short,2,climatology,4.335155074730519,4297,3.362174521879364,-28.939025815569064
short,2,gru,3.7316208276041927,4297,3.362174521879364,-10.988314357885208
short,2,lstm,3.791056135583497,4297,3.362174521879364,-12.756078273545413
short,2,persistence,4.02936419328524,4297,3.362174521879364,-19.843992840470847
short,2,random_forest,2.653100859657129,4297,3.362174521879364,21.089733968535405
short,2,seasonal_naive,3.362174521879364,4297,3.362174521879364,0.0
short,2,xgboost,2.7542530461553896,4297,3.362174521879364,18.081199288374926
short,3,chronos,3.3016241186060586,3858,3.3502355942269983,1.450986781487995
short,3,climatology,4.442427251169426,3858,3.3502355942269983,-32.600443348654395
short,3,gru,3.9485843345174407,3858,3.3502355942269983,-17.85990039988514
short,3,lstm,4.052016310294685,3858,3.3502355942269983,-20.947204945137866
short,3,persistence,3.660924687207759,3858,3.3502355942269983,-9.273649098473214
short,3,random_forest,2.8789191427294387,3858,3.3502355942269983,14.068158439654654
short,3,seasonal_naive,3.3502355942269983,3858,3.3502355942269983,0.0
short,3,xgboost,2.89481407106326,3858,3.3502355942269983,13.593716332920103
short,4,chronos,3.2689691603993336,5885,3.244550781180985,-0.7525966109077409
short,4,climatology,4.101118647782641,5885,3.244550781180985,-26.400199114463362
short,4,gru,3.667331929043862,5885,3.244550781180985,-13.030498715418126
short,4,lstm,3.718579648827715,5885,3.244550781180985,-14.609999954267572
short,4,persistence,3.244550781180985,5885,3.244550781180985,0.0
short,4,random_forest,3.0279600301359033,5885,3.244550781180985,6.675523536304306
short,4,seasonal_naive,3.244550781180985,5885,3.244550781180985,0.0
short,4,xgboost,2.935855526254238,5885,3.244550781180985,9.514267944802668
