station_id,n_train,tau_well,is_igp
135730077143001,80,3.5580000000000007,False
135756077034001,5,104.4,False
135906076390001,76,5.7,False
135950076050501,23,10.874,False
140110079373801,20,6.7200000000000015,False
140130076073001,86,6.605,False
140130076163001,78,6.469999999999999,False
140130076443001,65,11.14,False
140130080020502,94,7.339,False
140157080033101,14,5.919,False
140214079334401,22,7.2,False
141700076450001,78,9.99,False
141730076170001,62,16.919,False
141735076180501,22,15.57,False
141842079554501,30,3.9780000000000015,False
141906079540201,16,5.470000000000001,False
142040080040701,20,4.09,False
142105076095001,88,16.245999999999995,False
142130076190001,85,7.238000000000001,False
142230080023001,92,6.158,False
142240079435401,95,8.38,False
142258079491801,13,7.868000000000002,False
142303079340401,71,13.07,False
142311079440003,17,8.042,False
142338079481501,17,10.55,False
143400075340001,38,11.263,False
143400075340002,25,6.642,False
143403075295902,21,9.4,False
143410075221501,10,32.69999999999999,False
143423075185101,22,8.403,False
143430075223001,35,14.77,False
143600075163301,24,11.36,False
143612075291801,7,10.620000000000001,False
143619075292401,16,15.0,False
143630075190001,50,16.184,False
143700075370001,73,10.324,False
143800075131501,63,18.44,False
144000075080001,77,13.136,False
144030075112201,19,14.3,False
144200075060002,25,13.97,False
144200075300001,50,12.6,False
144600075080501,18,11.689000000000004,False
144815079205201,21,6.8,False
144830076473001,55,14.948,False
144835076473503,13,8.6,False
144940079413301,23,8.73,False
145006079553301,23,4.338000000000001,False
145042079323001,11,8.75,False
145058079270001,21,11.6,False
145235079184501,52,13.7,False
145439074051101,50,4.795,False
145656074032201,55,15.520000000000001,False
145745075083001,35,8.28,False
145831074054301,4,9.017999999999999,False
145900074063301,58,8.670000000000002,False
145900075134501,60,10.537,False
145952074112801,16,6.529999999999999,False
150023074030201,59,4.834,False
150025075083101,16,4.835,False
150100075140001,86,12.175,False
150112074043101,11,7.07,False
150207074070801,53,7.120000000000001,False
150212074015201,52,3.929,False
150225073593201,60,4.2010000000000005,False
150300075143001,23,8.34,False
150522074130001,59,11.03,False
150534074015001,18,13.271,False
150614074542001,23,8.58,False
150640075372201,42,10.198,False
150642079335901,18,12.3,False
150700075220001,78,27.311999999999998,False
150700079380001,65,10.486,False
150725078301501,5,12.336,False
150951074062401,17,8.244,False
151054074133501,18,5.344,False
151100074580001,48,2.653000000000001,False
151100074584501,27,4.8180000000000005,False
151127075295801,15,9.64,False
151145075500101,21,8.58,False
151200079173001,63,10.928,False
151230075310001,95,10.776,False
151230075530001,50,7.229,False
151310074092701,17,9.262,False
151312074125301,9,4.788,False
151516073580201,14,5.1129999999999995,False
151657074054501,31,7.15,False
151717073581001,19,4.668,False
151718074104801,19,11.734,False
151802073551201,18,6.428999999999999,False
151819074025401,18,4.0889999999999995,False
151943075085101,26,14.6,False
152045079372403,4,10.4,False
152100076090001,4,12.465,False
152100076090002,36,11.75,False
152200076150001,79,9.26,False
152200077083001,16,7.6,False
152200077100001,20,11.039000000000001,False
152210074594001,24,9.8,False
152219077035401,77,6.698,False
152230076221501,89,3.028,False
152239076010701,20,18.51,False
152248078101201,20,30.641000000000012,False
152250075562601,19,12.62,False
152250076023001,55,15.5,False
152300076053001,46,15.98,False
152325074072801,22,9.81,False
152327074000101,9,3.55,False
152400077524801,20,4.8420000000000005,False
152542074113601,25,6.836,False
152729073481501,50,3.3049999999999997,False
152749074580201,6,14.7,False
152800075230001,87,16.062,False
152812075011601,45,8.406,False
152830075393001,25,11.252,False
152927075592001,24,6.431,False
152938076302601,24,4.009999999999999,False
153015080032201,57,8.572,False
153030076294501,80,6.35,False
153033080022501,11,5.99,False
153124080033002,95,4.1980000000000075,False
153145076380001,91,7.16,False
153215076193001,61,12.12,False
153215076193002,9,10.9,False
153221074051701,19,5.396,False
153230075031501,81,10.24,False
153230075553001,28,12.229,False
153243073452901,63,8.292,False
153248074030201,45,4.336,False
153330076005101,58,10.92,False
153341074094701,17,7.284,False
153410073514801,13,8.112000000000002,False
153422073473301,17,2.274,False
153500073574001,30,16.753999999999998,False
153503073441701,17,11.65,False
153505073572701,19,14.256,False
153535074024701,56,4.715,False
153634073493501,58,4.881000000000001,False
153636074040001,58,5.272000000000001,False
153649073553501,52,4.078,False
153715075404501,23,12.66,False
