station_id,count,min,max,span_days,median_gap_days
290700075340001,44,1994-05-01,2022-05-20,10246,130.0
290710076384501,113,1994-05-01,2022-11-01,10411,79.0
290730076243001,33,2012-11-05,2022-08-01,3556,99.5
290730078000002,34,2012-11-05,2023-01-31,3739,92.0
290736079141402,39,2009-01-05,2023-05-30,5258,102.0
290800075530001,48,1994-05-01,2022-08-01,10319,78.0
290800076243001,106,1994-05-01,2022-11-01,10411,102.0
290800077005201,7,2015-01-05,2022-05-20,2692,157.5
290822076425503,2,2014-11-05,2022-10-01,2887,2887.0
290850076280001,72,1994-05-01,2022-05-20,10246,102.0
290910078575001,23,2005-05-15,2023-08-03,6654,131.5
290915075430001,70,1994-05-01,2022-08-01,10319,92.0
290915077064501,26,2011-08-25,2022-05-20,3921,139.0
290915077064503,14,2012-11-05,2022-11-01,3648,165.0
290930078575801,45,2007-01-05,2023-05-30,5989,102.0
291003076531501,15,2012-11-05,2022-05-20,3483,116.0
291003079093001,72,1994-05-01,2023-08-03,10686,102.0
291015075252201,41,2012-05-15,2023-01-01,3883,80.0
291030077440001,34,2012-11-05,2023-01-31,3739,92.0
291030077550001,8,2012-11-05,2015-11-05,1095,174.0
291100075575702,12,1994-05-01,2022-05-20,10246,92.0
291215076460001,57,1994-05-01,2013-01-05,6824,102.0
291228076395501,84,1994-05-01,2022-08-01,10319,92.0
291244078573401,52,1994-05-01,2022-11-30,10440,120.0
291244079131001,30,2005-05-15,2014-08-25,3389,102.0
291245076461501,26,1994-05-01,2022-05-20,10246,191.0
291245078574801,14,2005-01-05,2023-05-30,6719,212.0
291315075325001,110,1994-05-01,2023-01-01,10472,80.0
291330076591501,13,1995-08-01,2022-05-20,9789,147.0
291343079061802,64,2005-05-15,2023-05-30,6589,102.0
291345076302001,67,1994-05-01,2022-05-20,10246,85.0
291400076524001,31,2012-11-05,2022-11-01,3648,88.5
291400077080002,2,2012-11-05,2013-11-05,365,365.0
291420075384501,17,1994-05-01,1997-05-15,1110,73.0
291425076303501,44,1994-05-01,2022-05-20,10246,102.0
291426076564501,1,2022-10-01,2022-10-01,0,
291434076364301,5,2015-01-05,2018-11-01,1396,152.0
291457076484801,6,2015-01-05,2022-05-20,2692,174.0
291528076140201,4,2015-05-15,2018-10-20,1254,512.0
291530076111502,19,2012-11-05,2022-05-20,3483,174.0
291530078553001,45,2005-05-15,2023-08-03,6654,102.0
291548079095301,59,2005-05-15,2023-08-30,6681,98.5
291615075284501,58,1994-08-01,2018-10-20,8846,102.0
291615079005702,53,2005-05-15,2019-11-30,5312,102.0
291640076510001,34,2008-11-05,2022-11-01,5109,102.0
291700075472201,34,2012-05-15,2023-01-01,3883,92.0
291720075542501,107,1994-05-01,2023-01-01,10472,79.0
291750075341501,71,1994-05-01,2022-05-20,10246,85.0
291808077043002,9,1994-05-01,2015-05-15,7684,106.5
291809076533601,4,2015-11-05,2022-05-20,2388,939.0
291836077055401,14,2012-11-05,2022-05-20,3483,191.0
291850076582501,11,1994-05-01,2022-05-20,10246,182.5
291907076382501,75,1997-11-05,2022-11-01,9127,102.0
292030076050001,35,2012-11-05,2023-01-01,3709,91.0
292030076584501,17,2002-05-15,2022-05-20,7310,116.0
292130076502001,30,2001-05-15,2022-10-01,7809,102.0
292130076502002,23,2012-11-05,2022-11-01,3648,124.5
