split,h,model_a,model_b,loss,n_points,mean_loss_diff,dm_stat,dm_hln,p_value,region
test,3,chronos,gru,se,10954,-1.6634475778647533,-1.5666668825843713,-1.5663093250630697,0.11730510734069122,national
test,3,chronos,lstm,se,10954,-2.1815756423365227,-1.9299438652449978,-1.9295033976814213,0.05369419668295805,national
test,3,gru,lstm,se,10954,-0.5181280644717694,-5.746362850409865,-5.745051368511491,9.434202086211485e-09,national
test,3,chronos,seasonal_naive,se,10954,-1.0061133064902894,-2.8530137498679733,-2.852362611750495,0.0043476812894918115,national
test,3,gru,seasonal_naive,se,10954,0.6573342713744641,0.5854744124578408,0.5853407907019775,0.5583306511806883,national
test,3,random_forest,seasonal_naive,se,10954,-2.2940867950872295,-5.074842107371964,-5.0736838854263295,3.965825301488479e-07,national
test,4,random_forest,xgboost,se,16566,-0.141613834129603,-0.6004695443314471,-0.600342679189771,0.5482860935081046,national
test,4,random_forest,chronos,se,16566,-0.7554902608181036,-2.475786216702239,-2.4752631410989774,0.013323731275931117,national
test,4,random_forest,gru,se,16566,-1.9612872237963694,-2.2289423849994066,-2.2284714617125716,0.025862459650381364,national
test,4,chronos,gru,se,16566,-1.205796962978266,-1.7745957681746576,-1.77422083767956,0.07604499298481215,national
test,4,chronos,lstm,se,16566,-1.2892292541269792,-1.8477199551159817,-1.8473295751939751,0.06471720844375284,national
test,4,gru,lstm,se,16566,-0.08343229114871312,-1.200871795109787,-1.2006180790439853,0.22991655304590175,national
test,4,chronos,seasonal_naive,se,16566,-0.5768110049106856,-1.8537113390552082,-1.8533196932941935,0.06385431905756844,national
test,4,gru,seasonal_naive,se,16566,0.6289859580675804,0.7179254594139943,0.7177737785902436,0.4729069056826971,national
test,4,random_forest,seasonal_naive,se,16566,-1.3323012657287892,-6.099223375965314,-6.09793475301181,1.0983163267752616e-09,national
test,1,random_forest,xgboost,se,940,-4.177832656710062,-2.5851362114738237,-2.583760773115497,0.009923033555423233,igp
test,1,random_forest,chronos,se,940,0.12340113652643728,0.4582892845901602,0.45804544882690806,0.6470257661861014,igp
test,1,random_forest,gru,se,940,0.16040358455807163,0.6284387676955008,0.6281044028047412,0.5300882776500715,igp
test,1,chronos,gru,se,940,0.03700244803163442,0.14318263505781026,0.14310645381535553,0.8862368103899696,igp
test,1,chronos,lstm,se,940,-0.09635044960751023,-0.39891185528369866,-0.39869961166384094,0.6902051993472855,igp
test,1,gru,lstm,se,940,-0.13335289763914462,-1.9984241409211938,-1.9973608664958735,0.0460741608789792,igp
test,1,chronos,seasonal_naive,se,940,-1.7112293384927815,-1.2935623092296193,-1.2928740610780893,0.19637263028591612,igp
test,1,gru,seasonal_naive,se,940,-1.748231786524416,-1.3313803469898795,-1.3306719775079758,0.1836200056023345,igp
test,1,random_forest,seasonal_naive,se,940,-1.5878282019663437,-1.3299860731801652,-1.329278445530615,0.18407898861903282,igp
test,2,random_forest,xgboost,se,963,-3.3573613414891055,-1.6253343156165825,-1.6228024228072861,0.10495928109373143,igp
test,2,random_forest,chronos,se,963,-0.08586387776471549,-0.32540493720235303,-0.324898031999715,0.7453288864085301,igp
test,2,random_forest,gru,se,963,-0.8606134568511742,-3.371588819169458,-3.366336668024221,0.0007918890139160251,igp
test,2,chronos,gru,se,963,-0.7747495790864588,-2.29167789499133,-2.28810799387757,0.02234741370243909,igp
test,2,chronos,lstm,se,963,-0.8934412403397036,-2.794635544374774,-2.790282152231742,0.005370328308981653,igp
test,2,gru,lstm,se,963,-0.11869166125324462,-1.5945800681056623,-1.5920960832605184,0.11169163129651971,igp
test,2,chronos,seasonal_naive,se,963,-0.12358157747061731,-0.35150053037863777,-0.3509529743116929,0.7257004687925099,igp
test,2,gru,seasonal_naive,se,963,0.6511680016158417,1.7882780613953162,1.7854923401309797,0.07449643993112298,igp
test,2,random_forest,seasonal_naive,se,963,-0.20944545523533273,-0.7439379672173961,-0.7427790849052082,0.4577967760895467,igp
test,3,random_forest,xgboost,se,777,-2.854448406023052,-1.286654916770705,-1.2825148331788023,0.2000450700063221,igp
test,3,random_forest,chronos,se,777,0.23893544310388942,0.6195726495455054,0.6175790438576547,0.5370340433821141,igp
test,3,random_forest,gru,se,777,-1.5917604186382803,-3.6525075354114636,-3.6407548219841432,0.00028987552720538545,igp
test,3,chronos,gru,se,777,-1.8306958617421698,-3.078252348189722,-3.068347421956305,0.0022273253236815282,igp
test,3,chronos,lstm,se,777,-1.4965257801480383,-3.00118589896189,-2.991528950284674,0.0028637433094678144,igp
test,3,gru,lstm,se,777,0.33417008159413125,1.8311180646921348,1.8252260560768832,0.0683511836669275,igp
