split,h,model_a,model_b,metric,n_wells,median_diff,mean_diff,a_better_frac,wilcoxon_stat,p_value,region
test,2,gru,seasonal_naive,rmse,2531,-0.1197535958430831,-0.1220551214427587,0.6104306598182536,1204536.0,2.9795136618667977e-27,national
test,2,random_forest,seasonal_naive,rmse,2531,-0.152012302229427,-0.2438821021371127,0.6858949032003161,864515.0,1.6228285780385072e-89,national
test,3,random_forest,xgboost,rmse,2471,-0.0113099343278828,-0.0231564915778243,0.52853095912586,1450002.0,0.0297768711294213,national
test,3,random_forest,chronos,rmse,2471,-0.0473490158884066,-0.1059240446268744,0.5536220153783893,1281168.0,4.117896828370311e-12,national
test,3,random_forest,gru,rmse,2471,0.0123357944983812,-0.1062752341126625,0.4840145690004047,1486391.0,0.2513358199347497,national
test,3,chronos,gru,rmse,2471,0.0437536652371242,-0.0003511894857881,0.4378794010522056,1343712.0,2.344226055051764e-07,national
test,3,chronos,lstm,rmse,2471,0.009942395095063,-0.0740441683281531,0.4864427357345204,1503140.0,0.4997411328951755,national
test,3,gru,lstm,rmse,2471,-0.0438950262029718,-0.073692978842365,0.6592472683124241,857448.0,1.6898578048202898e-79,national
test,3,chronos,seasonal_naive,rmse,2471,-0.0839958556455393,-0.1097564556328816,0.5920679886685553,1224320.0,1.3916276625059593e-17,national
test,3,gru,seasonal_naive,rmse,2471,-0.1366552237156224,-0.1094052661470934,0.6208012950222582,1139989.0,9.945242649840058e-28,national
test,3,random_forest,seasonal_naive,rmse,2471,-0.147303629930132,-0.215680500259756,0.6721974908943747,850390.0,3.8297772972686875e-81,national
test,4,random_forest,xgboost,rmse,2768,-0.0095889542790174,-0.0240758503444234,0.5332369942196532,1753644.0,0.0001113389764163,national
test,4,random_forest,chronos,rmse,2768,-0.0222971263304864,-0.0450696980552562,0.5278179190751445,1748011.0,6.376989698834735e-05,national
test,4,random_forest,gru,rmse,2768,0.011038278201956,-0.0761437555368067,0.4822976878612717,1878769.0,0.3740583538687779,national
test,4,chronos,gru,rmse,2768,0.0287964409274928,-0.0310740574815504,0.4523121387283237,1775468.0,0.0008214539379422,national
test,4,chronos,lstm,rmse,2768,0.0105221925535918,-0.0562935278910632,0.4830202312138728,1905807.0,0.8057474374507914,national
test,4,gru,lstm,rmse,2768,-0.0251248804281957,-0.0252194704095128,0.6235549132947977,1280724.0,1.3746105304078452e-51,national
test,4,chronos,seasonal_naive,rmse,2768,-0.0595802656324275,-0.0941404932104953,0.5859826589595376,1519663.0,4.153075166556909e-21,national
test,4,gru,seasonal_naive,rmse,2768,-0.1116529830066101,-0.0630664357289448,0.6094653179190751,1495738.0,1.56094532583661e-23,national
test,4,random_forest,seasonal_naive,rmse,2768,-0.1065836090306818,-0.1392101912657515,0.622471098265896,1352091.0,5.030385116867494e-41,national
test,1,random_forest,xgboost,rmse,186,-0.008671532972697,-0.1938619831121975,0.5268817204301075,7605.0,0.1380213876374411,igp
test,1,random_forest,chronos,rmse,186,0.068327482297514,0.0441760489303244,0.4301075268817204,7341.0,0.0654358772165847,igp
test,1,random_forest,gru,rmse,186,0.0528195989947803,0.0325934462917286,0.4139784946236559,7461.0,0.0931412487495149,igp
test,1,chronos,gru,rmse,186,-0.0006562745605745,-0.0115826026385958,0.5053763440860215,8632.0,0.9311747074516382,igp
test,1,chronos,lstm,rmse,186,-0.021441393780438,-0.0436827612748317,0.532258064516129,7903.0,0.2810842248513494,igp
test,1,gru,lstm,rmse,186,-0.0189322202392825,-0.0321001586362359,0.6075268817204301,6675.0,0.0059941432408156,igp
